text,label
AMPLIACION DE LA BECA CONTINUIDAD DE ESTUDIOS I - II Convocatoria. BECA PRONABEC,unclear
Petition Sokongan kepada Ketua Pengarah KKM Datuk Dr. Noor Hisham Bin Abdullah,unclear
Allow EBT recipients to order groceries online during COVID-19 pandemic and beyond.,pro-mitigation
Cancel Alberta Diploma Examinations,pro-mitigation
The beauty industry - financial support & operational clarity from government & insurers,unclear
Potential treatment for COVID-19 should not harm Canadians living with lupus,unclear
Save Akron's Last Major Greenspace!,unclear
Allow Donna Kay Rule to compete in the NFR!,anti-mitigation
Stop classes and encourage online classes to reduce spread of COVID-19 in uniten,pro-mitigation
Hazard Pay for Wal-Mart Associates,unclear
Demand FDA Approval for Emergency Use of Ivermectin for Covid 19 Treatment,pro-mitigation
NO TO THE DISPLACEMENT OF MARIACHIS AT MARIACHI PLAZA IN BOYLE HEIGHTS!,unclear
Provide financial support for ALL Sole Traders in Victoria,unclear
Allow medical schools to proctor board exams to combat scheduling issues due to COVID-19.,pro-mitigation
Let babies travel on their mother's passport into South Africa for Medical Emergencies,unclear
Pembroke Pines utilities cost increase during COVID-19,unclear
"Give Children and Families Access to Beaches, Parks and Trails in Hawaii",anti-mitigation
"Save Donderberg , Sauvons l'espace vert du Donderberg à Laeken , Red Donderberg",unclear
COVID Transparency at BYU,pro-mitigation
Postpone JEE & NEET to the end of 2020,pro-mitigation
Save my dad from ICE's virus-ridden detention centers,unclear
India needs to change its stance on mental health,unclear
"No School Re-Opening, Protect Our Children",pro-mitigation
"Covid-19 Minnesota families rent,mortgages, utilities,and monthly Bill's or hardships!",unclear
Varsity College must decrease their school fees by 35% because of the COVID 19 pandemic,unclear
Car Dealerships are Non-Essential During COVID-19 and should be be closed!,pro-mitigation
Hazard Pay For The Front Line,unclear
UAH: Extend a Pass/Fail Option Due to COVID-19,unclear
Maharashtra CM : Make an announcement in Reduction & Deferment of School Fees !,unclear
To allow the children of a covid victim to remain in their home.,pro-mitigation
Help convince the SUSD that Students & Teachers Need Leniency in Grading during COVID-19.,unclear
"Glasgow Life, Reconsider Library Closures",anti-mitigation
Get Classes Moved To Online Due to Corona Virus (Covid-19),pro-mitigation
Release my mother due to COVID-19,unclear
"Allow venues, stadia, and hotels with Covid Controls in place to operate at capacity",anti-mitigation
Stop insurance providers from rejecting doctor-recommended cancer treatment.,unclear
"Let's get back golfing, rowing, playing tennis and picnicking again Ontario.",anti-mitigation
Fast food restaurants to print vehicle reg on takeaway packaging to discourage littering.,unclear
LOVE IS NOT TOURISM,unclear
#ProtectLibraryWorkers & communities: Don't reopen libraries until it's safe,pro-mitigation
Darden : Financial Relief for COVID-19,unclear
Close Pepperdine due to the Covid-19 Case in California,pro-mitigation
Keep NM Garden Nurseries Open,anti-mitigation
Stipend increment of Resident doctors who are working tirelessly to fight COVID19 PANDEMIC,pro-mitigation
Please help saving the life of my Father Kidnapped Dr Abbadi in Jordan,unclear
Hold the Chinese government accountable for COVID-19,unclear
Suspend school/college session until 2021,pro-mitigation
Keep our children safe and close the schools,pro-mitigation
Ensure Safe Watersports Access to Florida's Waterways during COVID-19 Pandemic,anti-mitigation
Powerful action against climate change by the governments,unclear
Continue Paying Northeastern Dining Hall Employees for the Next 30 Days,unclear
Australian Healthcare Workers demand safe Personal Protective Equipment for COVID-19,pro-mitigation
Force private nurseries to charge REDUCED fees during COVID-19 crisis,unclear
South Dakota High School Pass or Fail students -COVID-19,unclear
Save Maryland Restaurants,anti-mitigation
Re-Open Motocross Tracks Responsibly,anti-mitigation
Procurement of Covid-19 cure from Madagascar by the South African government.,pro-mitigation
Federal financial relief for restaurant industry — covid-19 pandemic,unclear
Close Petsmart Services in response to Covid-19 state of emergency,pro-mitigation
Venues should cancel South Padre Island Spring Break events to prevent COVID-19 exposure.,pro-mitigation
United Against COVID-19,pro-mitigation
I want people who are working during the Covid-19 pandemic to receive hazard pay.,pro-mitigation
Strongly Urge All Schools Closure in Edmonton for COVID-19,pro-mitigation
COVID-19 Requesting early release for Georgia work release program residents,pro-mitigation
Re-Open US Consulates for General Visa Appointments (Allowing Foreign Nationals to Travel),anti-mitigation
Close shopping malls  IMMEDIATELY to prevent the spread of COVID-19,pro-mitigation
I want the Covid Testing to be at an affordable price for ALL,pro-mitigation
UAW Local 2192 calls for covid-19 health and safety actions by Oberlin College,pro-mitigation
Allow 2020 Spring Sports to Continue Through the Summer,anti-mitigation
Postpone graduation!!!!!! DO NOT make it virtual,unclear
Stop Stephanie Alley from Potentially spreading the Coronavirus (CoVid 19 Virus),pro-mitigation
"Every penny counts- In case of death due to Covid, beneficiary to be granted tax exemption",unclear
Petition AGAINST Del Mar College School of Nursing Holding Back Graduates Due to COVID-19,anti-mitigation
"Student Loan Forgiveness for ""Covid-19"" Frontline Workers",unclear
Make UKZN shut down all campuses for an appropriate amount of time should COVID-19 worsen.,pro-mitigation
change school district grades from numerical to pass fail for 4th quarter due to covid,unclear
Hazard Pay For Transit Workers During Covid 10,unclear
Stand with Heine Brothers' Baristas during COVID-19 Outbreak: Give them the Choice!,anti-mitigation
Creat isolation hotel centers for COVID-19 self-isolation confirms,pro-mitigation
"Stop the barbaric wolf cull & poisoning in NWT, BC and AB",unclear
Extend JobKeeper For The Travel Industry Beyond March 28,unclear
Hazard Pay for COVID-19 Essential RI Workers,pro-mitigation
PM Modi: Tell Indian Men to Do an Equal Share of Household Chores in Your Next Speech,unclear
CONTRA LOS DESPIDOS EN ORANGE. ERE NO.,unclear
Coronavirus Europe - Let Google Vendor employees to work from home like Google employees,pro-mitigation
Opt-In and Implement AB 626 in Orange County,unclear
Chandler Unified School District must close schools until Covid-19 no longer is a threat,pro-mitigation
We want the COVID-19 Language Access Act!,pro-mitigation
Partial Reimbursement for University of Connecticut Spring 2020 Semester,unclear
Free 3 school teachers held in Italian covid centre for 2months. #FF3,anti-mitigation
Support for Farm Transitions and Sustainable Agricultural Practices,unclear
Demand that Micro-Businesses be priority to financial assistance for US COVID-19 relief!,unclear
Support Safe Schools for Saskatchewan,pro-mitigation
An Arts Sector-specific Rescue Package to Survive COVID-19 #HeartsForArts2020,unclear
Stop violence against doctors,unclear
Luxury Escapes to Honour Refund Policy Amidst COVID-19 Pandemic,pro-mitigation
Esami a distanza garantiti al Politecnico di Milano,unclear
Bring Thunder Bay District Out Of Lockdown and back into colour code system,anti-mitigation
Make Swiggy accessible with screen readers in Android for Visually Challenged People,unclear
Help change FL mandated clinical requirements for Nursing students in light of COVID-19,unclear
PETITION AGAINST PROPOSED CORONATION DRIVE WASTE PROCESSING PLANT,unclear
Shutdown Imperial county schools,pro-mitigation
Test Kits for CoVid-19 in Every City in the USA,pro-mitigation
Raise Awareness to Defeat COVID-19,pro-mitigation
Mary Seacole is now recognised as a  COVID-19  hospital in England,pro-mitigation
DONIAMO VENTILATORI POLMONARI AGLI OSPEDALI ITALIANI PUBBLICI,unclear
Housing for Healthcare Workers exposed to COVID-19,pro-mitigation
Student loan forgiveness for those working the front-lines of the COVID-19 pandemic,unclear
Luton mayor and councillors in breach of lockdown rules to resign,pro-mitigation
"Disinfect the streets, lobbies, transportation and stores everyday",pro-mitigation
In response to Okan University New payment schedule,unclear
Save 220k Massage Therapist's Careers  Covid-19 Licensed Health Care Economic Hardship,unclear
Extend COVID-19 Emergency Benefits / Prolonger les prestations d'urgence pour la COVID-19,pro-mitigation
Justice for Benny Davis,unclear
Demilitarize Walnut Creek Police Response!,unclear
"Rockford, IL Police Chief Daniel G. O’Shea Must Be Fired",unclear
URGENT! Irish Government Enact Vegan Law! to Stop COVID-19 & Stop Climate Change!,unclear
"""COVID-19 Relief"" for our incarcerated loved ones & DE DOC!",pro-mitigation
NO on SB20-163,anti-mitigation
Keep the test,unclear
"Name MUN's New Core Science Building the ""J. Fitzgerald Building""",unclear
Smoking Covid,unclear
"Halt Rent, Mortgage, and Utility Payments During COVID-19 Outbreak",unclear
#Don'tForgetStudents | #N'OubliezPaslesÉtudiants,unclear
Help the St. John’s University bowling team go to sectionals!,unclear
Lift Ban on Riding Road Registered Motorcycles During covid 19,anti-mitigation
Stop Allowing Flights with Covid Infected People to Land in Canada,pro-mitigation
"OPEN LETTER TO THE LEADERS OF THE COUNTRIES AND NATIONS OF THE EARTH

FOR THE POOR",unclear
Act now to save small businesses & start-ups - CBILS not available to so many...,anti-mitigation
"Support for NY State Licensed, High-Touch Service Professionals During Covid-19.",unclear
"Postponement of Final examinations for Mithibai College,in regards to Covid-19",pro-mitigation
Rescind Abbott’s Execute Order GA-13: Biased Bail Restrictions during COVID-19,unclear
"$2,000/month for Each Adult and $1,000/month for Each Child during COVID-19 crisis",unclear
Approve direct access to COVID-19 rapid screening tests,pro-mitigation
Restrict Northern BC Work Camps to Essential Operations Only - Covid-19,pro-mitigation
No Mandatory COVID-19 Testing For Ohio Athletics ( OHSAA) & Let Spectators In all Games.,anti-mitigation
Shut down all Visalia Unified School District Schools to prevent Corona Virus,pro-mitigation
ALTERNATIVE GRADUATION OPTION FOR CMS SENIORS,pro-mitigation
Protect Hanover community from Wegmans,unclear
Alberta golf courses should receive an exemption from mandated business closures,anti-mitigation
Petition for Online Teaching in QUB under COVID-19 Threat,pro-mitigation
University and College tuition reduction in Ontario,unclear
The easing of covid restrictions,anti-mitigation
Restrict Incoming Maui Flights to Slow Spread of COVID-19,pro-mitigation
Urge “shelter in place” order for the state of Utah,pro-mitigation
KKTC GİRNE AMERİKAN ÜNİVERSİTESİ ÖDEMELERİNE İNDİRİM İSTİYORUZ,unclear
Give NJ Teachers and school staff immediate access to the COVID-19 vaccine,pro-mitigation
Demand Johns Hopkins Protect its Graduate Employees amid COVID-19,unclear
Re-open unused wards of University Hospital of Hartlepool during Covid 19 pandemic,pro-mitigation
Postponing the JEE MAINS Examination april 2020 due to COVID-19 outbreak,pro-mitigation
Don't let new immigrants fall through the cracks during covid-19.,unclear
Protect our TWU community from COVID-19 by suspending face-to-face classes and meetings.,pro-mitigation
Urgent Action Needed: Strengthen Ethnic Studies in Stockton Unified School District,unclear
No More Live Markets - make the difference,unclear
SAVE THE NORTHCOTE PUBLIC GOLF COURSE,unclear
Save Western Ghats from annihilation,unclear
Save Beacon Hill Park,unclear
Government of India: Don't Tax Medical Bills,unclear
NO FAILING @ UCR,unclear
WIAA - Let them play football!,anti-mitigation
#NoJailDuringCovid: Coronavirus Pandemic – Release the Bhima Koregaon political prisoners,unclear
Schedule Disneyland to reopen at a later date.,pro-mitigation
Proteggere Italia e Svizzera dal COVID-19 | Protect Italy and Switzerland from COVID-19,pro-mitigation
Cancel 12 th board exam,pro-mitigation
Close all CCPS schools to limit spread of Coronavirus,pro-mitigation
SAVE OUR FREEDOMS- No mandated mask-wearing,anti-mitigation
Appeal to the President of India on issues thrown up during lockdown,unclear
Waive off School Fee at Indian Schools in Oman due to COVID-19,unclear
Covid-19 Youth Brigades exploited,unclear
Protection from COVID-19,pro-mitigation
Change URI to Pass/Fail grading system (with a letter grade option) for Spring 2020,unclear
"Allow restaurants to offer outdoor ""Curbside Plus"" dining",anti-mitigation
Close Holland and Barrett Stores. (Covid-19 Crisis),pro-mitigation
Doug Ford: Reinstate the Covid benefit for all ODSP recipients,unclear
Petition for holidays in Colleges in concern of COVID-19,unclear
Protecting the Rights of Birthing People to Give Birth in a Safe and Supported Environment,unclear
"NSW Govt, under the Protection of Covid-19 will commence the slaughter of our Snowy Brumby",unclear
Duval County Beach Access (COVID-19),unclear
Save Local Flower Shops - Let Them Deliver On Mother's Day,unclear
Save Japanese Restaurants from Bankruptcy During COVID-19/防止日本餐廳業界破產倒閉之對策/일본 레스토랑 도산 방지 대책,unclear
Ticketmaster Refund Our Money Now! - COVID 19,unclear
"Make it ""Zoe's Law""..Ensure ALL moles/tags removed, are tested BY LAW for melanoma cancer.",unclear
Get British performers home from cruise ships #GetBenhome #Covid 19,unclear
Allow Antepartum Women to Have Support Partners in Hospitals During COVID-19,anti-mitigation
#PostPoneJEEandNEET in COVID,pro-mitigation
Larang Perdagangan Daging Hewan Liar di Indonesia / Stop Selling Wild Meat in Indonesia,unclear
Reverse Postponement of Winter & Spring Sports,anti-mitigation
#letthedjsplay,anti-mitigation
Pass all CSUDH Students for Spring 2020 with an A letter grade,unclear
"Father's Day Gift: Sebastien, Rosena and Amaika Arrived Safely with YOUR Help!",unclear
BRING BACK THE OLD FLAMIN' HOT LAYS FORMULA,unclear
Pakistan didn't cause the pandemic - racist British reports will increase hate crime.,unclear
Stop Australian Banks Charging Interest during Covid-19,unclear
Denver Public Schools: SAFE Openings - 14 Days w/o New COVID Cases,anti-mitigation
Postpone UCLA Class of 2020 Commencement,pro-mitigation
NO IN SCHOOL EXAM COVID-19,pro-mitigation
Safeguard the Right of All Laboring People to Have Support During COVID-19 Crisis,unclear
TRUSD Must Condemn Anti-Asian and Racist Behavior,unclear
¡Medidas MÁS SERIAS para enfrentar el COVID-19 en Miami!,pro-mitigation
Shut Down PISD schools during Covid-19 Outbreak,pro-mitigation
Renew I Am Not Okay With This,unclear
Scotland Back in the EU,unclear
Government of Ghana Must Implement the National Health Laboratory Policy,pro-mitigation
Freeze Rent for All NYC Residents,unclear
Closure of educational institutes due to multiple outbreaks of COVID-19 in Pune .,pro-mitigation
Spring sports for International leadership of texas,unclear
Temporary online classes for HELP students due to covid-19,pro-mitigation
Dominos Employees Demand COVID-19 Hazard Pay,unclear
Make FUHSD Classes Accessible Online,pro-mitigation
To impeach Governor Ron DeSantis for neglecting his duty to protect Floridians from COVID,pro-mitigation
Partial Refund of Fees for Curtin University Malaysia,unclear
ICE: Do not deport International Students,unclear
Free data for students,unclear
300 Trees being removed for redevelopment by Kejriwal Ji's Govt in Ayur Vigyan Nagar Delhi,unclear
A CALL TO ACTION FOR ESSENTIAL HEALTH & FITNESS. RE-OPEN OUR GYMS IN ONTARIO!!!,anti-mitigation
"Anchorage, AK: Repeal Emergency Order 15 to Help Our Community",unclear
COVID-19 TOTAL ENTRY BAN: ZAMBIA MUST CLOSE ITS BORDERS AND AIRPORTS IMMEDIATELY,pro-mitigation
No detriment policy for UWE Bristol,unclear
FDA expedite review and approval of lifesaving Cuban antiviral for COVID-19,pro-mitigation
Zero Percent Interest on Credit Cards during COVID19,unclear
"Make Corona Testing Free in India.
(Including Pvt. Hospitals and Clinics)",pro-mitigation
Petition for Nirma University to take preventive action against COVID 19,pro-mitigation
Hazard Pay and Family Leave for Walgreens Employees,unclear
"4-POINT THOMASIAN DEMANDS: FIGHT FOR OUR WELL-BEING, LIVELIHOOD, AND DEMOCRATIC RIGHTS!",unclear
Make masks mandatory in South Carolina,pro-mitigation
Pay PetSmart Employees While on Leave,unclear
"Wedding, Event & Creative Professionals Covid-19 Relief Fund",pro-mitigation
Dental Hygiene High Risk Occupation for exposure to COVID/19 Ensuring Personal Safety,unclear
Allow college students to pass during the COVID-19 pandemic.,unclear
HBUHSD DISTRICT SHUTDOWN FOR COVID-19 (CORONAVIRUS),unclear
Support Peoria Academy During The COVID-19 Crisis,unclear
Concerning the Safety of Soccer in a Covid-19 World - A Letter to Governor DeWine,unclear
Suspend Online Classes or Refund Our Money,anti-mitigation
Keep kids in extra curricular activities in ND.,unclear
COVID-19 crisis -more Australian music to be played on Australian radio.,unclear
Extend financial package to cover losses of covid19 lockdown to small businessman also....,unclear
Australian Medical Schools Must Consider an Opt In/Opt Out System for 2020 GPA Results,unclear
COVID-19:Provide Work From Home to all employees before it's too LATE. Health is important,pro-mitigation
Make small grants/funding available for Self Employed & Freelancers during COVID-19,unclear
Το Σπίτι Δεν Είναι Ασφαλές Για Όλες / Home Is Not Safe For All,unclear
Partial tuition refund due to the COVID-19 virus causing classes to go online,pro-mitigation
Bryn Mawr College COVID-19 Credit/No Credit Spring Semester,unclear
"Save Our Future Teachers - Support, & Share",unclear
Save Services for Those with Developmental Disabilities During Covid-19,unclear
PASSING GRADES FOR ALL STUDENTS FOR THE SPRING 2020 SEMESTER!,unclear
Kenyan Citizens requesting IMF to withhold any loans or grants to the government of Kenya!,unclear
Tell west Virginia representatives to not make hazelton/gilmer prison a quarantine site,unclear
Save Georgia Disability Services,unclear
Protect Doctors Nurses & Medics against punitive litigation during & after COVID-19 Crisis,unclear
Safe Staffing during COVID at Emanate,pro-mitigation
Help International Students Stay at The University of Texas at Austin!,unclear
The Immediate Issue of Travel Documents for Sarah's children to come to Canada,unclear
Environmental Impact Assessment Notification 2020-Withdrawal,unclear
ISO: Give engineers the Standards needed to build ventilators in fight against COVID-2019,pro-mitigation
Protect People in Long-Term Care,pro-mitigation
Please facilitate 14-days-self-quarantine of Iranian new immigrants,pro-mitigation
Waive EDD False Statement Penalty Weeks during COVID 19 for Claimants in Good Standing,unclear
Bring back McDonald's SNACK WRAPS!,unclear
Pay rise for frontline NHS staff tackling COVID-19,pro-mitigation
Allow Cigarettes and Tobaccos during COVID-19 lockdowns,unclear
Family pleads for compassionate visits in father's dying days,anti-mitigation
"Immediately Enact Vegan Law to Stop COVID-19, Climate Change, Rescuing Our World!",unclear
Time to Save the New York YMCA Camp from Potential Sale,unclear
Supermarkets: Stop Selling Suffering!,unclear
Give Oregon Kids What They Need to Learn to Read!,unclear
Allow spa and leisure facilities to demonstrate that they can reopen safely.,anti-mitigation
Compensate hospital locums and locum GPs from Covid 19 self-isolation income loss,pro-mitigation
Removal of payment of compulsory payment of ₦52000 covid test upon arrival in Nigeria.,pro-mitigation
Levez les sanctions contre l’Iran pour lutter contre l’épidémie de coronavirus !,pro-mitigation
Freeze rents & mortgages for the duration of Coronavirus,unclear
COVID-19: BE PROACTIVE NOT REACTIVE,pro-mitigation
Require Vaccination Options for WA Teachers & Students before returning to school.,pro-mitigation
Respiratory Therapists Deserve Hazard Pay,pro-mitigation
Relaxation in EMI due to COVID-19. Appeal to Govt. of India for 6 months relief.,unclear
Support Louisiana Vote-By-Mail,pro-mitigation
Stop Evictions in Whittier - COVID-19,unclear
PASS/FAIL Grading Option for Spring 2020 Semester at the University of Miami,unclear
30% Pay Cut for Top 10 City Managers,unclear
Justice For Jamaicans Against the Jamaica Public Service (JPS),unclear
"#MoveAsOne: Affordable, Efficient, and Humane Public Transportation for Filipinos",unclear
Give NAIA Athletes Another Year of Eligibility,unclear
Support and clear guidance for the reopening of baby and toddler classes and groups.,anti-mitigation
"UArizona COVID-19 Response from Coalition of Concerned Faculty, Staff, and Students",unclear
COVID and Poverty,unclear
Keep independent Texas restaurants alive during COVID-19,anti-mitigation
Allow Tattoo Shops in NV to reopen in Phase 2,anti-mitigation
Sailors need lifesavers too!!! Wake up world!!!,unclear
Save Tennessee’s Zoos and Aquariums,unclear
Doug Ford: Allow Horse Racing to Continue,anti-mitigation
Shift semester end exams in VTU colleges to online mode due to pandemic situation.,pro-mitigation
President Trump: Fight for Monthly Stimulus Payments and be a Hero to the People,unclear
Justice for EMS,unclear
Ask Gov. Polis to announce a COVID-19 Relief Package for Food & Bev,unclear
Stop Exposing Sanitation Workers through Open Bin Garbage Collection,pro-mitigation
Shut down and clean Amazon facilities that test positive for COVID-19 EWR9,pro-mitigation
Illinois for Remote Learning,pro-mitigation
Pay the £500 bonus to all Scottish healthcare workers,pro-mitigation
LAX Employee Busses & COVID-19 Precautions,pro-mitigation
"Help St John become fully funded, it's a travesty they aren't already!",unclear
International healthcare workers to be able to relocate overseas with minimal ielts hussle,unclear
Pay the Student Nurses and Midwives,unclear
Suppression totale des prélèvements CARMF pendant la durée de la crise Covid,unclear
Shut Down UVIC and Keep Students Safe,pro-mitigation
DO NOT OPEN OUR SCHOOLS DURING COVID-19 CRISIS,pro-mitigation
The Iranian people suffering from Coronavirus; Lift All Medical Sanctions Now,unclear
NOW! Support House Resolution 151 to protect AAPI communities from hate and bias attacks.,unclear
Hundred of Myanmar doctors are in turmoil for UK job/exams due to closure of local VFS,unclear
GOV. BROWN: OPEN POOLS IN OREGON TO COMPETITIVE SWIMMERS IN PHASE 1,anti-mitigation
Request to Make NC A&T Spring 2020 Courses Pass/Fail due to COVID-19,unclear
De-Densify Cornell's Ithaca Campus By Rescinding Jessica Zhang '24 Acceptance,unclear
#FlattenTheCurve: Order Stricter Implementation of “Work From Home” in Companies,pro-mitigation
GYMS VS. THE STATE OF ALABAMA,unclear
A law to close entertainment venues during the COVID-19 outbreak to safeguard jobs.,pro-mitigation
Keep Doulas in the Hospital Supporting Moms during COVID-19,unclear
Cancellation of final year exams as the risk of Covid 19 spread have increased.,pro-mitigation
"Pettion to Allow for Outdoor, Socially Distanced Workouts",anti-mitigation
"In wake of COVID-19 slowdown, guarantee the American people a Universal Basic Income",unclear
Cancel Rent and Mortgage Payments during Covid-19,unclear
HOLD INDIA ACCOUNTABLE FOR HUMAN RIGHTS VIOLATIONS IN KASHMIR,unclear
Change USF Class Grading to Mandatory Pass/Fail for Spring 2020  Due to COVID-19,pro-mitigation
Urgent resources for COVID-19 in Indigenous Communities,pro-mitigation
Petition to reconsider the decision of eliminating the University of Hartford Spirit teams,unclear
FLORIDA PRISONERS COVID-19,unclear
$2000/month to every American #moneyforthepeople #covid19,unclear
Ontario needs to allow salons to open before they lose their businesses!,anti-mitigation
Temporary Hazard Pay For Grocery Workers During COVID-19 Pandemic,unclear
BAME LEADERSHIP: A DEMAND FOR A COVID-19 RACE EQUALITY STRATEGY,unclear
Force Banks to Give Mortgage & Payment Holiday,unclear
Bring back Maldivians stranded in Malaysia due to Covid 19,unclear
Require masks in grocery stores to fight COVID-19,pro-mitigation
Access to Covid-19 swabbing for symptomatic NHS and frontline emergency services,pro-mitigation
"AirAsia Should Refund Its’ Customers with Cash Refund, or at least Provide The Options",unclear
Unmask our children,anti-mitigation
Improve the Mobile Network : Fix Minimum 4G Internet Speed,unclear
Create a reopening plan that allows internationals to stay in the U​.​S.,anti-mitigation
Audit PMCARES FUND,unclear
Atlanta Spa Shooting of Asian Women is a Hate Crime,unclear
"Extenuating Circumstances for international students, University of Surrey",unclear
"Smithfield has case of COVID-19 in facility in Sioux Falls SD, should shut down for 2 week",pro-mitigation
Close Surrey School District's schools due to Coronavirus spread,pro-mitigation
Make school covid-19 safe,pro-mitigation
Stop the Corona Virus: Close the New Zealand borders: Save the local economy,pro-mitigation
Don’t force students to physically attend school on May 16 in New Jersey.,pro-mitigation
Shutdown PartyTown Guelph to prevent the spread of COVID-19,pro-mitigation
Priority covid-19 testing for healthcare workers with symptoms,pro-mitigation
Africa WILL NOT be the testing ground for the Covid-19 vaccine,unclear
Shut Down Alabama,pro-mitigation
Save the Graffiti Highway,unclear
Compensation for Covid-19 fedEx Ground Drivers.,unclear
Cancel AHSEC board exam,unclear
Prepping for Tourism Re-Opening to Avoid a COVID-19 Hotspot at Laniakea Beach,pro-mitigation
"Declaration for Change:
Families Advocating for Compassionate Eldercare (FACE)",unclear
Suspend Boston Exam School Admissions Testing for One Year!,pro-mitigation
Corona-Schutz für Obdachlose - sofortige Unterbringung benötigt!,unclear
Covid-19 Impfung für Schwangere!,unclear
STOP the Construction of a New Hog Confinement in Poweshiek! Save Our Air and Water!,unclear
Temporary Moratorium on Evictions Due to COVID-19 Financial Hardships,unclear
Cancel Utility Payments for Belizean Households,unclear
Extended Temporary bonus COVID-19 Pay,unclear
Dentistry in South Africa needs your help after the COVID-19 pandemic!,unclear
Food companies need to set purchase limits!,unclear
NHS Payrise post Covid - 19,pro-mitigation
Subir el limite en los ayudas de alquilar,unclear
Protect our Healthcare workers during the COVID-19 War!,pro-mitigation
Personal protective equipment (PPE) is essential to protect health care workers,pro-mitigation
Close Schools during the COVID-19 pandemic,pro-mitigation
Immediate Relief for Rent/Mortgage/Utility Bills in Michigan due to COVID-19,unclear
Loan forgiveness for nurses actively working during Covid -19,pro-mitigation
Get lawmakers to take action on homelessness,unclear
India can defeat COVID-19 with more investments in nutrition,unclear
Banks should freeze mortgage to survive the current COVID-19 shutdown.,unclear
Save weddings & events! Create an Advisory Group to consult on safely reopening Ohio,unclear
Stop the immigration ban of Doctors and Nurses and lift the deployment ban for HCWs,unclear
Allow 17 Year Olds to Receive Their Driver's License In New Jersey Without The Road Test,unclear
Second chance for seniors!,unclear
Elderly Woman Battling Breast Cancer Needs Urgent Commutation of Sentence,unclear
Federal Assistance for Regional Airlines,unclear
Close Beaverton School District COVID 19,pro-mitigation
Allow Ontario's young athletes a safe return to sports,unclear
Postponement of GATE 2021 exam due to pandemic situations,pro-mitigation
ECFMG Certification without Step 2 CS,unclear
Fair treatment of freelance artists during the COVID-19 crisis,unclear
temporary close campus due to concerns of coronavirus(COVID-19),pro-mitigation
Reform of the Dental Council of New Zealand,unclear
Arizona Suspend mortgage/rent and utility bills during mandatory Coronavirus shut down,pro-mitigation
#CloseCrownCasino during the Coronavirus Pandemic,pro-mitigation
COVID-19: Demand Serious Action on Health Crisis!,pro-mitigation
"Lakehead, Help Students During COVID-19",unclear
Utah: Slow the COVID-19 Spread with Mandatory Masks,pro-mitigation
Force Dillard’s to close their Doors,unclear
Make July 2021 Graduation Happen for Uni of Liverpool Students!,anti-mitigation
Clear the California DMV Backlog: Allow Licensed Driving Instructors to Approve Drivers,unclear
Reunir fondos para llevar a mi mamá a un hospital particular para que la atiendan,unclear
Shut down schools in VVSD 365u due to COVID-19,pro-mitigation
"DEAR PRESIDENT UHURU, WE CAN'T BREATH!",unclear
Open the QLD border to postcodes that have no active cases! Zero Covid = Not a hotspot!,anti-mitigation
Cancellation of ib exams for generations 2020 2021,unclear
"Suspend Rent, Mortgage, & Utility Payments During the Covid-19 (coronavirus) Pandemic",unclear
Appeal to reduce university tuition in JA now that classes are online amidst COVID-19,unclear
Demanding Hazard Pay for Instacart Workers: The Frontline of COVID-19,pro-mitigation
Free parking for hospital staff during COVID-19 pandemic in Canada.,pro-mitigation
CERB Must Include Students and Seasonal Workers Unable to find Work,unclear
Stop Increasing Rent During COVID-19,unclear
More medical supplies needed,unclear
Slow/Stop Spread of COVID-19 in Milpitas (@WeAsk2Mask),pro-mitigation
WCPSS Ignoring Parents: Tables Still Cleaned With Water Only,unclear
"Keith Rowley, Fire Yourself!",unclear
COVID-19: Please allow parents to keep school children at home without repercussions,pro-mitigation
No! to Miramar Furlough,unclear
Help International Students return to Australia before 2021!,unclear
Eat Healthy. Avoid pork and scavenger meat - it makes you sick.,unclear
Protect our migrant workers from Covid-19,pro-mitigation
COVID 19 AND CANCELLED FLIGHTS,unclear
Require Frequent COVID-19 Testing at Villanova,pro-mitigation
Help stop the destruction of 400 million-year-old Ainslie Volcanics,unclear
Postpone or cancel VTU semester exams due to COVID-19 fears.,pro-mitigation
Stop the demolition of the Monument of Anti-Chico Dams Struggle Heroes,unclear
Make Northeastern University a Sanctuary Campus,unclear
"LMU, do right by your students.",unclear
St. James Town Urgently Needs Space for Food Security,unclear
Protect the arts from economic devastation following COVID-19 closures,unclear
Don’t relax lockdown until the NHS has sufficient supplies of PPE,pro-mitigation
"CANCEL BOARD EXAMS! 
HEALTH>>EXAMS",pro-mitigation
Get all school staff and nurseries vaccinated over Feb half term so schools can reopen,pro-mitigation
"Vote of no confidence in Willie Walsh, Alex Cruz & the British Airways Board",unclear
Covid-19 vs. Prisoners,unclear
Close all New Jersey schools due to COVID-19 virus,pro-mitigation
Launch a COVID-19 Vaccination Program for the West Bank and the Gaza Strip,pro-mitigation
Local Fire Sirens - should be heard!!,unclear
SAVE THE PORTLAND CHILDREN'S MUSEUM,unclear
6 Demands from NHS staff to help us tackle Coronavirus,unclear
Make 0% Interest Student Loans Permanent,unclear
Full Lockdown from government of Malaysia due to Covid 19 spreading.,pro-mitigation
"Support fair pay for NZ's aged care nurses - PETITION CLOSED WE REACHED 15,000! THANKS!",unclear
Rollins College's Spring Semester changed to PASS/FAIL grades due to COVID-19,unclear
RESCHEDULING OF IIE GRADUATION,unclear
